"filename", "language", "Python", "Markdown", "JSON", "pip requirements", "JavaScript", "comment", "blank", "total"
"e:\Projects\Python\if1210-2024-tubes-k08-a\F012 - Shop Management.py", "Python", 264, 0, 0, 0, 0, 1, 32, 297
"e:\Projects\Python\if1210-2024-tubes-k08-a\F13 Monster Management.py", "Python", 47, 0, 0, 0, 0, 1, 7, 55
"e:\Projects\Python\if1210-2024-tubes-k08-a\README.md", "Markdown", 0, 36, 0, 0, 0, 0, 6, 42
"e:\Projects\Python\if1210-2024-tubes-k08-a\data\assets\README.md", "Markdown", 0, 11, 0, 0, 0, 0, 10, 21
"e:\Projects\Python\if1210-2024-tubes-k08-a\data\generator\gamesave\createnpc.mjs", "JavaScript", 0, 0, 0, 0, 59, 2, 6, 67
"e:\Projects\Python\if1210-2024-tubes-k08-a\data\generator\monsters\copyasciifiles.mjs", "JavaScript", 0, 0, 0, 0, 22, 0, 3, 25
"e:\Projects\Python\if1210-2024-tubes-k08-a\data\generator\monsters\fetchmonsters.mjs", "JavaScript", 0, 0, 0, 0, 90, 0, 7, 97
"e:\Projects\Python\if1210-2024-tubes-k08-a\data\generator\monsters\fetchsprites.mjs", "JavaScript", 0, 0, 0, 0, 40, 0, 3, 43
"e:\Projects\Python\if1210-2024-tubes-k08-a\data\generator\monsters\generatesplash.mjs", "JavaScript", 0, 0, 0, 0, 158, 0, 4, 162
"e:\Projects\Python\if1210-2024-tubes-k08-a\data\generator\monsters\package-lock.json", "JSON", 0, 0, 708, 0, 0, 0, 1, 709
"e:\Projects\Python\if1210-2024-tubes-k08-a\data\generator\monsters\package.json", "JSON", 0, 0, 13, 0, 0, 0, 1, 14
"e:\Projects\Python\if1210-2024-tubes-k08-a\data\generator\worldmap\download.mjs", "JavaScript", 0, 0, 0, 0, 75, 0, 4, 79
"e:\Projects\Python\if1210-2024-tubes-k08-a\data\generator\worldmap\generate.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"e:\Projects\Python\if1210-2024-tubes-k08-a\data\generator\worldmap\package-lock.json", "JSON", 0, 0, 629, 0, 0, 0, 1, 630
"e:\Projects\Python\if1210-2024-tubes-k08-a\data\generator\worldmap\package.json", "JSON", 0, 0, 11, 0, 0, 0, 1, 12
"e:\Projects\Python\if1210-2024-tubes-k08-a\exit.py", "Python", 15, 0, 0, 0, 0, 0, 0, 15
"e:\Projects\Python\if1210-2024-tubes-k08-a\f05 level.py", "Python", 15, 0, 0, 0, 0, 4, 4, 23
"e:\Projects\Python\if1210-2024-tubes-k08-a\main.py", "Python", 79, 0, 0, 0, 0, 3, 3, 85
"e:\Projects\Python\if1210-2024-tubes-k08-a\pyrightconfig.json", "JSON", 0, 0, 7, 0, 0, 0, 1, 8
"e:\Projects\Python\if1210-2024-tubes-k08-a\requirements.txt", "pip requirements", 0, 0, 0, 2, 0, 0, 1, 3
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\data.py", "Python", 92, 0, 0, 0, 0, 13, 29, 134
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\encryption.py", "Python", 15, 0, 0, 0, 0, 3, 5, 23
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\F04.py", "Python", 28, 0, 0, 0, 0, 0, 1, 29
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\F10.py", "Python", 125, 0, 0, 0, 0, 1, 12, 138
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\F11.py", "Python", 88, 0, 0, 0, 0, 1, 9, 98
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\README.md", "Markdown", 0, 33, 0, 0, 0, 0, 13, 46
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\arena\__init__.py", "Python", 7, 0, 0, 0, 0, 0, 4, 11
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\arena\arena.py", "Python", 23, 0, 0, 0, 0, 0, 6, 29
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\arena\ui_logic.py", "Python", 245, 0, 0, 0, 0, 7, 4, 256
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\battle\__init__.py", "Python", 15, 0, 0, 0, 0, 0, 4, 19
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\battle\battle.py", "Python", 55, 0, 0, 0, 0, 0, 12, 67
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\battle\ui_logic.py", "Python", 373, 0, 0, 0, 0, 20, 4, 397
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\database\__init__.py", "Python", 31, 0, 0, 0, 0, 0, 2, 33
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\database\database.py", "Python", 122, 0, 0, 0, 0, 0, 7, 129
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\generateinit.mjs", "JavaScript", 0, 0, 0, 0, 30, 0, 3, 33
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\inventory\__init__.py", "Python", 10, 0, 0, 0, 0, 0, 2, 12
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\inventory\_inventory.py", "Python", 80, 0, 0, 0, 0, 0, 11, 91
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\inventory\inventory.py", "Python", 102, 0, 0, 0, 0, 1, 12, 115
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\laboratory\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 2, 2
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\laboratory\laboratory.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\__init__.py", "Python", 21, 0, 0, 0, 0, 0, 12, 33
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\menu.py", "Python", 148, 0, 0, 0, 0, 0, 5, 153
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\ui_arena.py", "Python", 165, 0, 0, 0, 0, 3, 7, 175
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\ui_battle.py", "Python", 300, 0, 0, 0, 0, 3, 17, 320
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\ui_debug.py", "Python", 169, 0, 0, 0, 0, 7, 7, 183
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\ui_shop.py", "Python", 203, 0, 0, 0, 0, 0, 11, 214
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\ui_user.py", "Python", 89, 0, 0, 0, 0, 0, 4, 93
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\monster\__init__.py", "Python", 5, 0, 0, 0, 0, 0, 2, 7
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\monster\monster.py", "Python", 34, 0, 0, 0, 0, 0, 5, 39
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\potion\__init__.py", "Python", 10, 0, 0, 0, 0, 0, 2, 12
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\potion\potion.py", "Python", 60, 0, 0, 0, 0, 0, 12, 72
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\setup.py", "Python", 9, 0, 0, 0, 0, 0, 2, 11
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\shop\__init__.py", "Python", 5, 0, 0, 0, 0, 0, 2, 7
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\shop\shop.py", "Python", 27, 0, 0, 0, 0, 0, 5, 32
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\state\__init__.py", "Python", 84, 0, 0, 0, 0, 0, 4, 88
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\state\state.py", "Python", 265, 0, 0, 0, 0, 3, 13, 281
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\state\visual.py", "Python", 1542, 0, 0, 0, 0, 0, 45, 1587
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\user\__init__.py", "Python", 10, 0, 0, 0, 0, 0, 2, 12
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\user\user.py", "Python", 155, 0, 0, 0, 0, 20, 28, 203
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\lcg.py", "Python", 32, 0, 0, 0, 0, 16, 13, 61
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\codec\__init__.py", "Python", 3, 0, 0, 0, 0, 0, 2, 5
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\codec\codec.py", "Python", 39, 0, 0, 0, 0, 0, 5, 44
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\console\__init__.py", "Python", 243, 0, 0, 0, 0, 0, 6, 249
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\console\console.py", "Python", 1601, 0, 0, 0, 0, 15, 50, 1666
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\console\driver_std.py", "Python", 218, 0, 0, 0, 0, 0, 14, 232
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\console\views.py", "Python", 84, 0, 0, 0, 0, 0, 5, 89
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\coroutines\__init__.py", "Python", 55, 0, 0, 0, 0, 0, 2, 57
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\coroutines\coroutines.py", "Python", 524, 0, 0, 0, 0, 1, 56, 581
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\csv\__init__.py", "Python", 3, 0, 0, 0, 0, 0, 2, 5
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\csv\csv.py", "Python", 65, 0, 0, 0, 0, 10, 7, 82
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\generateinit.mjs", "JavaScript", 0, 0, 0, 0, 30, 0, 3, 33
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\math\__init__.py", "Python", 31, 0, 0, 0, 0, 0, 2, 33
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\math\math.py", "Python", 110, 0, 0, 0, 0, 18, 16, 144
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\mixin\__init__.py", "Python", 7, 0, 0, 0, 0, 0, 2, 9
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\mixin\mixin.py", "Python", 69, 0, 0, 0, 0, 0, 7, 76
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\primordials\__init__.py", "Python", 62, 0, 0, 0, 0, 0, 2, 64
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\primordials\primordials.py", "Python", 387, 0, 0, 0, 0, 14, 67, 468
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\setup.py", "Python", 9, 0, 0, 0, 0, 0, 2, 11
"e:\Projects\Python\if1210-2024-tubes-k08-a\test\csv_reader.py", "Python", 7, 0, 0, 0, 0, 0, 2, 9
"e:\Projects\Python\if1210-2024-tubes-k08-a\test\testabortsignalsuspendable.py", "Python", 30, 0, 0, 0, 0, 0, 5, 35
"e:\Projects\Python\if1210-2024-tubes-k08-a\test\testconsole_textformatter.py", "Python", 68, 0, 0, 0, 0, 0, 10, 78
"e:\Projects\Python\if1210-2024-tubes-k08-a\test\testconsole_views.py", "Python", 53, 0, 0, 0, 0, 0, 12, 65
"e:\Projects\Python\if1210-2024-tubes-k08-a\test\testgetch.py", "Python", 117, 0, 0, 0, 0, 7, 5, 129
"e:\Projects\Python\if1210-2024-tubes-k08-a\test\testmixin.py", "Python", 42, 0, 0, 0, 0, 1, 8, 51
"e:\Projects\Python\if1210-2024-tubes-k08-a\test\testprimordialstrim.py", "Python", 16, 0, 0, 0, 0, 0, 3, 19
"e:\Projects\Python\if1210-2024-tubes-k08-a\test\testutils.py", "Python", 38, 0, 0, 0, 0, 0, 7, 45
"e:\Projects\Python\if1210-2024-tubes-k08-a\test\userauthtest.py", "Python", 35, 0, 0, 0, 0, 6, 4, 45
"Total", "-", 9080, 80, 1368, 2, 504, 181, 743, 11958